# Time(ps) Perimeter(A)
94600.0000 217.1465
94700.0000 214.8252
94800.0000 211.3207
94900.0000 215.0077
95000.0000 243.5949
95100.0000 200.7402
95200.0000 197.5516
95300.0000 194.8027
95400.0000 205.2743
95500.0000 198.1004
95600.0000 186.9697
95700.0000 192.1006
95800.0000 188.9614
95900.0000 182.9982
96000.0000 192.0328
96100.0000 190.0987
96200.0000 186.4026
96300.0000 189.5077
96400.0000 191.9081
96500.0000 184.5499
96600.0000 192.2791
96700.0000 184.9523
96800.0000 178.7826
96900.0000 199.3202
97000.0000 171.1397
97100.0000 177.9449
97200.0000 187.5803
97300.0000 176.7054
97400.0000 169.6756
97500.0000 191.8179
97600.0000 155.6569
97700.0000 157.2152
97800.0000 142.8997
97900.0000 143.5705
98000.0000 146.5182
98100.0000 157.1866
98200.0000 163.7153
98300.0000 154.2290
98400.0000 197.9811
98500.0000 140.6778
98600.0000 152.0768
98700.0000 124.0359
98800.0000 126.8615
98900.0000 106.2818
99000.0000 93.0916
99100.0000 70.0576
99200.0000 0.0000
99300.0000 0.0000
99400.0000 78.0697
99500.0000 0.0000
99600.0000 0.0000
99700.0000 0.0000
99800.0000 0.0000
99900.0000 0.0000
100000.0000 0.0000
100100.0000 0.0000
100200.0000 0.0000
100300.0000 0.0000
100400.0000 0.0000
100500.0000 0.0000
100600.0000 0.0000
100700.0000 0.0000
100800.0000 0.0000
100900.0000 0.0000
101000.0000 0.0000
101100.0000 0.0000
101200.0000 0.0000
101300.0000 0.0000
101400.0000 0.0000
101500.0000 0.0000
101600.0000 0.0000
101700.0000 0.0000
101800.0000 0.0000
101900.0000 0.0000
102000.0000 0.0000
102100.0000 0.0000
102200.0000 0.0000
102300.0000 0.0000
102400.0000 0.0000
102500.0000 0.0000
102600.0000 0.0000
102700.0000 0.0000
102800.0000 0.0000
102900.0000 0.0000
103000.0000 0.0000
103100.0000 0.0000
103200.0000 0.0000
103300.0000 0.0000
103400.0000 0.0000
103500.0000 0.0000
103600.0000 0.0000
103700.0000 0.0000
103800.0000 0.0000
103900.0000 0.0000
104000.0000 0.0000
104100.0000 0.0000
104200.0000 0.0000
104300.0000 0.0000
104400.0000 0.0000
104500.0000 0.0000
104600.0000 0.0000
104700.0000 0.0000
104800.0000 0.0000
104900.0000 0.0000
105000.0000 0.0000
105100.0000 0.0000
105200.0000 0.0000
105300.0000 0.0000
105400.0000 0.0000
105500.0000 0.0000
105600.0000 0.0000
105700.0000 0.0000
105800.0000 0.0000
105900.0000 0.0000
106000.0000 0.0000
106100.0000 0.0000
106200.0000 0.0000
106300.0000 0.0000
106400.0000 0.0000
106500.0000 0.0000
106600.0000 0.0000
106700.0000 0.0000
106800.0000 0.0000
106900.0000 0.0000
107000.0000 0.0000
107100.0000 0.0000
107200.0000 0.0000
107300.0000 0.0000
107400.0000 0.0000
107500.0000 0.0000
107600.0000 0.0000
107700.0000 0.0000
107800.0000 0.0000
107900.0000 0.0000
108000.0000 0.0000
108100.0000 0.0000
108200.0000 0.0000
108300.0000 0.0000
108400.0000 0.0000
108500.0000 0.0000
108600.0000 0.0000
108700.0000 0.0000
108800.0000 0.0000
108900.0000 0.0000
109000.0000 13.8621
109100.0000 0.0000
109200.0000 0.0000
109300.0000 0.0000
109400.0000 0.0000
109500.0000 0.0000
109600.0000 0.0000
109700.0000 0.0000
109800.0000 0.0000
109900.0000 0.0000
110000.0000 0.0000
110100.0000 0.0000
110200.0000 0.0000
110300.0000 0.0000
110400.0000 0.0000
110500.0000 0.0000
110600.0000 0.0000
110700.0000 0.0000
110800.0000 0.0000
110900.0000 0.0000
111000.0000 0.0000
111100.0000 0.0000
111200.0000 0.0000
111300.0000 0.0000
111400.0000 0.0000
111500.0000 0.0000
111600.0000 0.0000
111700.0000 0.0000
111800.0000 0.0000
111900.0000 0.0000
112000.0000 0.0000
112100.0000 0.0000
112200.0000 0.0000
112300.0000 0.0000
112400.0000 0.0000
112500.0000 0.0000
112600.0000 0.0000
112700.0000 0.0000
112800.0000 0.0000
112900.0000 0.0000
113000.0000 0.0000
113100.0000 0.0000
113200.0000 0.0000
113300.0000 0.0000
113400.0000 0.0000
113500.0000 0.0000
113600.0000 0.0000
113700.0000 0.0000
113800.0000 0.0000
113900.0000 0.0000
114000.0000 0.0000
114100.0000 0.0000
114200.0000 0.0000
114300.0000 0.0000
114400.0000 0.0000
114500.0000 0.0000
114600.0000 0.0000
114700.0000 0.0000
114800.0000 0.0000
114900.0000 0.0000
115000.0000 0.0000
115100.0000 0.0000
115200.0000 0.0000
115300.0000 0.0000
115400.0000 0.0000
115500.0000 0.0000
115600.0000 0.0000
115700.0000 0.0000
115800.0000 0.0000
115900.0000 0.0000
116000.0000 0.0000
116100.0000 0.0000
116200.0000 0.0000
116300.0000 0.0000
116400.0000 0.0000
116500.0000 0.0000
116600.0000 0.0000
116700.0000 0.0000
116800.0000 0.0000
116900.0000 0.0000
117000.0000 0.0000
117100.0000 0.0000
117200.0000 0.0000
117300.0000 0.0000
117400.0000 0.0000
117500.0000 0.0000
117600.0000 0.0000
117700.0000 0.0000
117800.0000 0.0000
117900.0000 0.0000
118000.0000 0.0000
118100.0000 0.0000
118200.0000 0.0000
118300.0000 0.0000
118400.0000 0.0000
118500.0000 0.0000
118600.0000 0.0000
118700.0000 0.0000
118800.0000 0.0000
118900.0000 0.0000
119000.0000 12.4610
119100.0000 0.0000
119200.0000 0.0000
119300.0000 0.0000
119400.0000 0.0000
119500.0000 0.0000
119600.0000 0.0000
119700.0000 0.0000
119800.0000 0.0000
119900.0000 0.0000
120000.0000 0.0000
120100.0000 0.0000
120200.0000 0.0000
120300.0000 0.0000
120400.0000 0.0000
120500.0000 0.0000
120600.0000 0.0000
120700.0000 0.0000
120800.0000 10.2348
120900.0000 0.0000
